text,phishing,type
"여보세요 윤정숙씨 되십니까 네, 제가 윤정숙인데요. 누구시죠? 여기는 역삼 경찰서 입니다. 오늘 출석요구서 받으셨죠? 고소 사건으로 조사할게 있으니 내일이라도 당장 출석해주시죠 그렇게 급하게요? 내가 무슨 명예훼손을 했다고? 그거야 조사를 해보면 알겠죠 빨리 처리해야하니 내일 10시까지 출석해주세요.",0,2
. 수고하십니다. 뭐 쫌 (여쭤보려고)/(여쭤볼려고) 전화드렸는데요. 네. 감사합니다. 무엇을 도와드릴까요? 네. 제 말 좀 들어보세요이. 한 (1년)/(일 년) (10개월)/(십 개월) 전에 세상을 떴어요. 그라고저 그라고저 그 뭐 뇌출혈 떨어가지고 병원에서 한 (3년)/(삼 년) 고생하다 세상을 떴는데. 이 병원에 누워있는 사람을 어떻게 데리고 와서 인감을 떼가지고 여보세요? 인감을 빼가지고 이 메리찌오 화재라고 메리찌 캐피탈이라는 데서 그 차를 사는 그 걸로 해가지고 돈을 한 (2300)/(이천 삼백) 몇 (10000원)/(만 원) 받았더라고. 그래가지고 차를 샀어요. o/ 우리 동생 앞으로 병원에 누워 있는 사람 반신불수 있는 사람 앞으로 차를 사가지고 아마 알기로는 다른 사람이 몰고 다니는디 죽은 사람으로 차가 지금까지 있어가지고 그 과태료나 뭐 이런 범칙금이. (차) 차량 (차 차) 차적 조회 해본 게 대포 찬데 그걸 어떻게 (()) 앞으로 지금까지 차가 굴러 당기는디 그걸 없애는 방법은 뭐여요. 운행 정지라는 게 있구요. 지금 차주분이 죽었다라는 말씀이 차주분이 없는데 b/ 차주분이 지금 사망하셨는데 b/ 그분 앞으로 지금 차가 계속 있는 걸로 (나온다라고요)/(나온다라구요)? 모르시고요. 네. 전주 시내에 있어요. 전주 시내에. 그랜저 껌정 걸로 돼 가지고. 내가 차 남바까지 알아요. 고객님 그러시다면 죄송합니다만 / 어 고객님께 말소를 문의하시는 거죠? 말소요. 아니 그 인게 이게 죽은 사람 차 앞으로 이래갖고 자꾸 범칙금만 거기에 지금까지 뭐 아 지난 (5월)/(오 월) 달에 내가 그 차적을 한번 떼봤는데 (서르 서) (35건)/(서른 다섯 건)이 붙어 있더라고 뭣 이. 신호 위반 뭐 주차정 주차 위반 그런 걸로 해가지고. 근디 그것이 나중에. 네. 우리 부모님은 돌아가시고 그 뭇 죽은 동생은 결혼도 안 했단 말이여 그럼 그것이 형제간끼리 돌아오는 거야 그럼 나중 누가 그 차를 가져갔는지도 모르세요? 몰라요. 그 내 동생이 죽기 전에 다른 여자하고 같이 살았어요. 고이 고이 혼인신고도 않고 근데 그 아마 우리가 알기로는 그 아들이. 그 메리쯔 캐피탈이라는 데서 돈을 대부를 받은 것 같어 그래가고 다른 사람이 그 차를 몰고 다니는 것 같아 지금. 고객님 혹시 이 내용으로 b/ 그 경찰서에 신고는 해보셨습니까? 아까 모라네 지구의 지구대에 오다가 했더니 뭐 지 자기들끼리 그 덕진경찰서에 연락허더니 (차)차량 등록사업소로 한번 해가지고 전화해가지고 뭐 서류가 뭣 뭐 있으면 가서 한번 해보시라고 (그러고) 그러고 와서 집에 왔어요. 어 그러세요. 음 b/ 고객님 너무 죄송합니다만 그렇다면 제가 b/ 말씀해 주셨던 내용은 답변이 (어렵고요)/(어렵구요). 고객님 b/ 제가 담당 부서 다른 부서 한번 연결해 봐 드릴 텐데 (250)/(이 오 공)에 (8823번)/(팔 팔 이 삼 번)으로 연결해드릴 아 죄송합니다 고객님 잠시만요. o/ 어 (250)/(이 오 공)에 (8836번)/(팔 팔 삼 육 번)으로 연결해 드릴 (거고요)/(거구요). b/ 고객님 전화 끊지 마시고 기다려 주세요. 네. 좋은 상담 이어가세요. 네. 수고하셨어요. 네. 끊지 마시고 기다려 주세요. 어 고객님 너무 죄송합니다만 지금 b/ 담당 부서가 전화를 받고 있지 않은 상황있 (않) 않고 있는데 b/ 혹시 메모 가능하십니까 고객님. 네. (063)/(공 육 삼) (250번)/(이백 오십 번)에. (8836번)/(팔 팔 삼 육 번)(이고요)/(이구요). 이 부서가 불법 명의 자동차 담당하는 담당자입니다. b/ 한번 이 담당자에게 한번 상담받아보시겠습니까 고객님? 아 네. b/ 도움 못 드려 죄송합니다. 이 번호로 한 (5분)/(오 분)이나 (10분)/(십 분) 후에 다시 (1번)/(한 번) 통화 부탁드립니다. o/ 예 감사합니다. 수고하셨어요.,0,2
n/ 아 아까 전주시청에 내가 전화했던 사람인데 그 저기 그 뭐 (시) 시끄럽다고. 저 완산 경찰서 그쪽인가 본데요. 거기 전화를 안 받아요. 거기 전화가 안 받고 근데 그거 어디 어떻게 저거 뭐 좀 (()) 시끄럽게 좀 안 하게 좀 할 수가 없어요? 죄송합니다만 집회 관련해서는. o/ 저희가 경찰. o/ n/ (()) 저렇게 막 떠들어도 되는 거예요? 경찰서에서 허가를 받고 진행을 하는 거기 때문에 저희가 따로 어떤 제재나 단속을 할 수 있는 부분은 없으시고요. o/ n/ (경) 경찰서 같으면 어디 어디로 (()) 여기로 안 되고 그러면 경찰서. o/ n/ 완산 경찰서 다른 번호로도 한번 더 확인해 볼 텐데 기다려 주시겠습니까. n/ 그 민원실. 경찰서 민원실로 한번 대줘봐요. 아. 거기서는 연결 안 되죠. 집회 시위 허가 신청 관련해서 (0382)/(공 삼 팔 이)가 맞으신데요. o/ n/ 거기가 연결이 안 된다라고 그러셨기 때문에. o/ n/ 예 알겠습니다.,0,2
"['때문에 몇 가지 확인 차 연락 드렸는데요.', '본인께서는 전라도 광주 출신인 42세 여성 이현주 씨라고 아십니까?', '아니요.', '모르는데요', '왜냐하면 저희 얼마 전에 이현주로 인한 금융 범죄 사기단을 검거했는데요.', '이들을 검거한 현장에서 대량의 신용 카드와 대포 통장을 압수하는 과정에서 (삐-) 본인 명의로 된 우리 은행 과 하나은행 대포 통장이 압수가 돼가지고 본인 앞으로 전화드린 겁니다', '예', '본인께서 이 두 계좌 개설 내용에 대해서 뭐 아시는 내용있으십니까?', '아니요.', '몰라요']",1,2
" 민원인께서 부정 수급 관련해서 신고를 좀 원하시는데 상담 가능할까요? 네 한번 연결해 주시겠습니까? 예 연결하겠습니다. 선생님 연결 되었습니다. 네 연결 좀 해 주세요. 선생님 지금 창원시청 연결 되셨는데요. 네 부정 수급이라 하셨는데 그럼 기초생활수급자가 지금 부정 수급을 하고 있단 말씀이세요? 네, 네. 제가 이제 설명을 드려도 될까요? 네 한번 말씀해 주시겠습니까? 아 예 이게 지금 부정 수급이라는 것은 우리 진짜 글자 그대로 뭐 자기 생활 영유권에서 너무 안 될 때에 우리나라가 도와주는 b/ 정말 우리 국민 세금으로 내는 이 수급의 (하나)/(1)입니다. 그죠? o/ 저는 그렇게 생각을 하고 있는데 b/ 그 지금 전화 받았고 상담하는 부분은 제 말씀에 b/ 뭐 그 뜻이 틀립니까? 아닙니다. 선생님. 네 선생님 계속 네 말씀해 주시면 되는데요. 지금 제 목소리 들리실까요? o/ 들리는데. 그 연결을 해 줬잖아요. 당신 성함이 어떻게 돼요? 아 여성분이네예. 전화 받으셨으면 o/ 무엇이 궁금한가 물어야 되는데 왜. 네 선생님. 불편 드려 죄송합니다. 지금 전화가 좀 끊겨서 들리는데요. 번호 말씀을 해 주시면 제가 다시 전화를 드리겠습니다. o/ 아 네 알겠습니다. 지금 제가 바로 다시 전화 드리겠습니다.",0,2
"[내용에 대해서 이해가 안되셨거나 다소 궁금한 사항 있으신가요?
  아니요. 그러면은 그 잡긴 잡으신 거에요?
  아 그 주범만 검거를 했는데요. 그 일당들을 아직 저희가 검거를 못했어요.
  아~ 그럼 주범을 어쨌든 검거를 하셨으면은 이제 그 피해자들에 대해서는
  네네.
  이제 절차가 진행이 되겠네요? 그러면?
  아~ 네. 그렇기 때문에 저희가 검거를 통해가지고
  네.
  저희가 이렇게 피해자분들 이라든지 뭐 가해자분들 이런 식으로 이제 180여명이 연루가 되다 보니까 그런 분들을 저희가 일일이 다 조사를 하고 있는 부분이에요.
  음… 아~ 그런
  그런 절차가
  공범인지 아닌지?
  아~ 네네. 그래서 아까 제가 말씀드렸잖아요. 본인께서 가해자인지 아니면 피해자인지 이것 좀 구분 차 연락을 좀 드렸다고요.]",1,2
"['그러면 본인 같은 경우는 저희가 조회를 해봤지만 동일 전과도 전혀 없으시고 신원도 확실하시고 별다른 혐의점이 크게 없으시기 때문에 유선상 연락을 드린 겁니다.', '일단 범죄 현장에서 본인 명의 통장이 발견이 됐기 때문에 본인께서 양도한 게 아니시란 걸 밝히기 위해서는 간단한 피해자 입증 조사를 받으셔야 되시고요.']",1,2
네 저는 서울중앙지검에 김진호 수사관입니다 잠시 통화 가능하세요 언제쯤 가능하실까요 다름이 아니라 명의 도용 및 계양동 혐의로 본인과 관련된 사건을 연료가 되어 있어서 몇 가지 확인 차 연락 드린 겁니다 언제쯤 통화 가능하실까요 서울중앙지방검찰청 있고요 첨단범죄수사 1층에 김진호 수사관입니다 지금 떠 있는 번호가 저희 직통 전화번호 구야 이쪽으로 전화 주시면 됩니다,1,2
연료 제이네 사건 때문에 연락 드렸는데 혹시 김영철씨 가십니까 전화 주시고 저희가 지금 혹시 2014년 경기도 광명시 있으세요 뭐라고 잘 안 들려요 모르는게 아니고 제가 연락 드린 이유가 뭐 본인 본인 거라고 해도 제가 명미정 당하신 피해를 주는 거예요 뭐 저녁 뭐 아무것도 안 쉬는게 없다 말씀하시네요 어 그러면 제가 몇 가지 질문을 드릴 건데 제가 보니 최근 1년 사이에 뭐 지갑 이라든지 신분증 여권 핸드폰 개인정보 유출 분실하신 적은 있으실까요 한 가지만 더 질문드릴께요 혹시 뭐 11번가나 지마켓 옥션 네이버 11 사이트 확진자 이용하시나요 중고나라 사이트에서 개인정보유출 됐다는 문자 메시지나 이메일 받아 보신적은 저녁 드시고 그러면 농협이랑 국민은행 쪽에 사장님 농협이랑 국민은행 쪽에서 개인정보 유출에 따른 문제는 이메일 받아 보시죠 저녁 2시 다 잘 알겠습니다 여보세요,1,2
"네n/ 여기 진해에 사는데요. 그 어디로 전화를 해야 되나요? 진해구 지역의 민원 말씀입니까n/? 선생님 저희가 내용에 따라 담당 부서가 많이 나뉘기 때문에 o/ 저한테 간략한 내용 말씀 주시면 담당자 쪽으로 연결드리겠습니다. 그 앞에 그 치킨집이 (1)/(하나) 있거든요. 근데 그 새벽만 되면은 그 배달 오토바이가 막 그 머플러를 튜닝을 했는지 너무 시끄러워 가지고 이 계속 애기가 깨고 잠을 못 잘 정도로 자꾸 (들) 돌아다니면서 시끄럽게 하는데. 그리고 또 그 그 치킨집 그 종업원인지 모르겠는데 종업원 친구들이 또 와 가지고 시끄럽게 막 동네를 떠들고 그 새벽에 그래 그게 (1)/(한) (2번)/(두 번)이 아니라 가지고 지금 어제도 그러고 뭐 계속 그래서 애기도 계속 깨고 이거 잠도 못 자고 이거 그렇다고 문도 못 열고 더운데 그 그래 가지고 너무 스트레스를 받아가지고 이게 혹시 저 동네 주민들은 뭐 별다른 신고가 없었는지 이 정도는 분명히 신고를 할 만한데 막 이렇게 난리를 부리니까는 o/ 예 너무 황당해가지고 이거를 좀 단속을 해야 될 것 같애요. o/ 근데 너무 시끄럽게 이렇게 막 설치고 애들이 종업원 인지 누군지 모르겠지만 문을 열어 놓고 나와서 막 노래도 부르고 떠들고 막 막 난리를 치거든요. 오토바이를 불법 튜닝을 해가지고 데시벨을 보니까는 아주 높은 것 같애. 문을 닫아도 소리가 들릴 정도면은. 배달을 하는 것도 다 좋고 한데 o/ 마후라를 저기 머플러를 (1번)/(한 번) 보고 이거를 단속을 (1번)/(한 번) 해야 될 거예요. 기준 그게 튜닝이 기준점이 어디 정도까지인지 내가 보기에는 초과했다고 보거든예. 이게 불법인 것 같은데. 장사를 하는 건 좋지만 자꾸 이렇게 돌아다니면서 앞 집 o/ 이게 (1)/(한) (2번)/(두 번)은 제가 참으려고 했는데 계속 이러다 보니까는 거기 치킨집 주인한테 (1번)/(한 번) 얘기를 해봐야 될 거 같애요. 그 종업원들이랑 도대체 이게 어떻게 새벽까지 이렇게 난리를 치는 건지 시끄럽게n/ 그래서 이게 지금 제가 뭐 증거물이 없기 때문에 제가 지금 제 아파트 작은 방에서 이거를 촬영을 할 수가 있거든요. o/ n/ 내가 오늘도 또 그러면은 아예 차량을 자세하게 해 가지고 이거를n/ 고발을 (하려고)/(할려고) 그러는데 b/ o/ 오토바이를 남바를 찍어야 될 거 아니에요. 그러면은. 그래서 그 그까지 가야 되는데 o/ 아 이게 너무 스트레스받아가지고 혹시 아파트 주민들 신고가 없었는지 좀 (알아보려고)/(알아볼려고) 전화를 드렸거든요. o/ n/ 일단 이게 저희 콜센터 쪽으로 이제 뭐 접수되는 건의 경우에는 저희가 각각 부서 쪽에 전달해 드리고 있는 내용이기 때문에 제가 지금 뭐 단속 건이 있었다 없었다 이렇게 안내를 드리긴 조금 (어렵고요)/(어렵구요). b/ o/ 어 그리고 추가적으로 저희 이륜차 이제 오토바이 소음의 경우에는 b/ 일차적으로는 경찰서에서 단속을 하는 업무이기 때문에 b/ 말씀 주신 내용은 제가 경찰서 쪽으로 전달해 드리도록 할 텐데요. b/ o/ 혹시나 뭐 정확한 내용이라던가 위치 뭐 이런 내용 건으로 전화를 다시 (1번)/(한 번) 드릴 수 있어서 b/ 선생님 전화번호만 (하) (1)/(하나) 함께 남겨 주시겠습니까? 이 집 껀지 확실하게 제가 뭐 이렇게 물증을 가지고 있어야 되나요, 혹시? 가서 몰래 찍어와야 되는 건지. 어 선생님n/ 그냥 뭐 촬영 건이 있으시면은 조금 더 접수 건을 처리하는 데 도움이 될 수 있지만 o/ n/ 말씀해 주셨기 때문에 일단은 제가 말씀해 주셨던 내용을 토대로 경찰서 쪽으로 내용 전달할 수 있도록 하겠습니다. 네 알겠습니다. o/ 혹시 다른 궁금하시거나 불편하신 점 있으십니까? 아니 아니요. 없습니다. o/ 네 신고 접수 감사합니다. 그러면은 제가 이거 신고를 하게 되면은 저도 뭐 그게 노출이 되나요? 신변이? n/ 아니요, 선생님 전화번호가 유출되거나 그런 건 (아니고요)/(아니구요). 제가 이제 전화번호를 여쭤본 부분은 업무를 보는 부서 쪽에서 정확한 내용이라던가 위치를 확인 차 선생님께 전화를 (1번)/(한 번) 드릴 수 있기 때문에 네 알겠습니다. n/",0,2
