Word,Frequency
광고,7838
상품,6287
무료,5728
거부,5484
신청,5054
대출,5045
고객,4064
상환,3409
지원,3378
안내,3169
접수,3147
발신,3141
상담,3124
수신,2927
금리,2695
진행,2447
번호,2379
한도,2271
원,2217
시,2172
수,2060
기간,2014
자금,1984
일,1907
가능,1844
대상,1838
등,1750
확인,1741
이용,1727
방법,1697
분,1684
전화,1614
년,1613
세,1604
내용,1604
문자,1592
만원,1589
아래,1562
금융,1476
최대,1452
정부,1421
국민,1418
번,1371
니다,1357
안녕하세요,1335
신용,1284
이상,1278
보증,1245
자,1236
후,1231
경우,1199
개인,1191
요구,1136
기준,1134
발생,1128
중,1112
방식,1108
시간,1103
조건,1091
정보,1086
입,1082
연락,1068
수수료,1061
마감,1058
거절,1056
직장인,960
이,942
등급,936
행복,923
완료,918
사업자,911
만기,908
통합,891
기존,883
적용,879
승인,874
2020년,844
최고,832
월,814
종목,813
오늘,799
시작,794
내일,789
혜택,783
균등,760
원리금,753
추가,735
감사,728
주,727
사칭,725
.kr,687
신규,680
희망,670
연,654
경제,645
담보,625
하루,623
최저,617
수익,616
비용,611
금전,608
생계,607
별도,607
본,607
!!,606
장,600
.ly,599
사용,598
것,597
설정,594
일시,593
요,592
개월,591
자유,585
답장,583
서민,580
소득,576
한,573
점,573
투자,571
생활,571
전,570
긴급,570
최근,566
대,565
해주시,565
프리랜서,565
필요,564
신한,560
오전,558
대상자,558
주부,550
저금리,549
차등,545
오후,539
신용정보,538
주시,536
문의,534
은행,534
.com,531
지연,530
참여,528
채무,516
고민,515
명,511
건강,508
금,505
신용등급,504
간,503
대환,498
부담,496
상,490
등록,490
기타,485
전환,484
이내,482
마이너스,474
시기,463
개인정보,451
마음,450
안,447
부채,443
대화,439
동일,436
보유,434
집,431
연결,429
다음,429
지,428
관리,427
당사,424
해당,424
시간대,422
도움,420
하,420
문,419
금액,418
가족,415
운영,414
동의,411
자격,410
심사,410
기회,407
기,407
신청자,407
법인,407
차,404
매,403
서비스,402
1년,399
씨,399
피싱,399
보이스,398
정책,397
중도,397
클릭,395
거,395
제한,394
안전,391
당행,388
연체,388
발송,387
이번,385
농협,382
조회,380
코로나,377
최,376
유도,376
미,375
국민은행,374
의거,373
서류,369
미래,367
중인,365
할인,358
결제,358
매수,353
방,350
리,349
때,343
준비,341
법,340
관련,337
지금,335
.gl,333
당일,331
마지막,329
만,329
건,325
5년,325
달,324
부탁,322
활동,321
제외,319
주식,319
이자,318
연장,318
절대,318
계좌,317
진입,316
안정,314
신,311
저축,309
선택,306
회원,306
을,306
위,303
10년,301
생각,300
우,296
평일,294
항,291
회복,290
포함,289
설명,284
한국,283
원금,283
통장,282
상승,281
공인,279
기관,279
국내,277
인증,273
소상,271
정,269
결과,268
자사,268
통화,267
로,266
선생님,266
대비,265
예정,265
입장,262
거래,261
제약,261
선착순,260
회사,257
시행,252
공개,251
공휴일,249
지속,249
최장,248
체험,246
내,245
유선,243
특징,241
안심,240
유의,240
현재,240
분할,238
종료,238
드,238
대한민국,236
예상,236
최소,236
사전,236
지급,232
적,231
전송,231
어려움,230
지원금,230
기한,230
면제,229
사람,229
성공,228
개통,226
기업,225
예방,225
이벤트,224
센터,224
디,223
타사,222
바이오,222
상한가,220
최선,219
내국인,219
급여,218
설치,218
부결,217
수령,217
피탈,217
택배,217
일용직,215
제공,214
서,214
상향,214
혼자,214
까,212
비밀,212
사기,212
시장,211
본인,210
돈,210
배,209
예산,208
양해,202
앤,202
사랑,202
힘,202
여부,202
날씨,202
추천,202
상품권,202
아이,201
장소,200
임,198
방문,198
전달,198
처리,197
취급,196
김,196
영업,196
지인,196
출시,195
.la,195
매도,194
급,193
7월,193
말,192
보호,192
봄,192
인해,191
숙지,190
친구,188
요약,188
고정,187
보관,187
메신저,186
사항,185
변경,185
한정,185
발급,185
허위,185
빈,184
검찰,184
만기일,182
이체,182
말씀,180
평가,179
사업,179
주민등록증,179
사진,179
절차,177
가입,177
주세,176
경찰,176
아들,176
은,175
응원,175
실력,175
신용카드,175
사본,175
원격,175
19,174
특정,174
금감원,174
답,173
요령,173
카드사,173
예약,172
전문,172
속,172
수법,172
딸,172
명목,172
출처,172
앞뒤,171
조종,171
개,170
직,170
전용,169
부,169
지점,169
연구원,169
빚,169
불자,168
조심,168
문제,168
상담원,167
밴드,167
주택,167
상황,166
선정,166
금일,166
여유,165
티,165
모두,164
5월,163
이신,162
무직,161
토,161
회,160
민,159
충족,159
불가,157
증빙,156
현금,155
특례,155
자산,155
신용도,154
하시,154
판단,153
햇살,153
재난,153
휴대폰,153
여름,152
이율,151
연금,151
학생,150
그룹,150
여러분,149
암호화,148
포트폴리오,148
실행,146
기원,146
우리,146
제출,146
6월,145
8월,144
기본,144
주말,144
무관,143
의주,142
결정,142
정보통신,142
코,142
제도,142
피해,141
폰,141
OK저축은행,141
박,140
정혜성,140
노트,140
사회,139
혜지,139
얼마,138
지역,137
에,137
11월,137
특가,137
위원,136
멘트,136
이후,135
신한은행,135
.im,135
인터넷,135
공무원,135
축하,134
태,134
이제,133
당,133
도,133
9월,131
모집,131
거리,131
고문,131
계약,130
평점,130
!!!,129
건수,129
노력,128
보험,128
4월,127
링크,127
우리은행,126
직업,126
길,125
선물,125
임박,125
해,125
집중,124
여신,124
조기,123
강,123
대금리,123
손실,123
채경선,123
친절,122
오픈,122
프로,122
.co,122
협약,121
단타,121
호,120
장기,120
단기,120
바,119
공시,119
쿠폰,119
주의,119
재료,119
바로,119
홀,119
채,119
목,118
자세,118
프리,118
용,117
2시,117
연봉,116
하락,116
타이밍,116
제일,115
산업,115
용기,115
전액,115
연락처,114
.gd,114
평생,113
대응,113
카,112
직장,112
소식,112
수입,112
새해,111
휴,111
버,111
대리,111
랩,111
사,110
재직,110
이름,110
곳,109
안녕하십니까,109
날,109
답변,109
폭락,109
광,108
보,108
해약금,108
대표,108
기분,108
형,107
배정,107
한국씨티은행,107
낮,106
목표,106
제가,106
입금,106
외,105
마련,105
가지,105
코드,105
동민,105
네이버,104
변동,104
최초,104
자문료,104
발표,103
단위,103
엘,103
요즘,103
터,102
근무,102
입력,102
두산,102
플러스,101
진시,101
고금리,101
성원,100
아,100
이하,100
내부,100
증권,99
통,99
자체,99
체크,98
보답,98
이전,98
기금,98
소,97
관심,97
초대,97
청약,97
가계,97
보고,97
자영업자,96
카드,96
출발,96
비,96
대박,96
종합,96
분기,95
가,95
관계,95
최종,95
공유,95
의심,95
신분,95
KB,95
끝,94
송,94
중심,94
불량,94
클럽,94
참고,94
올림,94
사실,93
인,93
사업체,93
연소득,93
유,93
때문,93
내역,93
VIP,92
전자,92
자영업,92
목적,92
주거래,92
부자,92
급등,92
해주,92
폭등,92
조서,92
마스크,91
업무,91
뉴,91
메,91
전문가,90
해결,90
계획,90
정아,90
편성,89
요건,89
데,89
강호,89
버팀목,88
행사,88
진심,88
성장,88
위생,88
극복,88
달성,87
기반,87
합,87
게,87
회생,87
서민지,87
.gg,87
백,86
기록,86
인원,86
